[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:32Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:33Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled workspace event type Init
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled workspace event type Focus
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Focus
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Move
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type FullscreenMode
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type FullscreenMode
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Floating
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type New
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Unhandled window event type Title
[2024-11-24T13:24:34Z DEBUG swayr::daemon] Handled window event type Move
